doc_id,seg_id,translation,context
103,49,"{'en': 'And I said, ""Well, how do you hear it?""', 'de': 'U'}","{'en': array(['And so on. There is a little bit of a difference there that is worth just --  -- thinking about. And I remember when I was 12 years old, and I started playing tympani and percussion, and my teacher said, ""Well, how are we going to do this? You know, music is about listening.""',
       'And I said, ""Yes, I agree with that. So what\'s the problem?""',
       'And he said, ""Well, how are you going to hear this? How are you going to hear that?""'],
      dtype=object), 'de': ['Und so weiter. Da gibt es ein wenig Unterschied, den es wert ist - - darüber nachzudenken. Und ich erinnere mich, als ich 12 Jahre alt war, und ich begann Tympani und Percussion zu spielen, und mein Lehrer sagte, ""Nun, wie werden wir das tun? Du weißt, Musik geht darum, zu hören.""', 'Und ich sagte: ""Ja, ich bin damit einverstanden. Wo liegt das Problem?""', 'Und er sagte: ""Nun, wie wirst du das hören? Wie wirst du das hören?""']}"
2264,225,"{'en': ""You have to stand tall, breathe in through your nose, and I'm going to photograph you. Okay?"", 'de': 'D'}","{'en': array([""We truly do all understand it, and we have this global digital fireplace, don't we,"",
       'but I want to share you with the world, because you are also a tribe.',
       'You are the TED tribe, yeah? But you have to remember that compliment.'],
      dtype=object), 'de': ['Wir verstehen es wirklich alle, und wir haben diesen globalen digitalen Kamin, nicht wahr?', 'aber ich möchte euch mit der Welt teilen, weil ihr auch ein Stamm seid.', 'Ihr seid das TED-Tribe, ja? Aber das Kompliment solltet ihr euch erinnern.']}"
1797,57,"{'en': 'Thank you.', 'de': 'V'}","{'en': array(['Sometimes Brian and I walk through the park with Scarlett, and she rolls through the grass,',
       'and we just look at her and then we look at each other and we feel gratitude.',
       'We forget about all of our new middle-class frustrations and disappointments, and we feel like millionaires.'],
      dtype=object), 'de': ['Manchmal gehen Brian und ich mit Scarlett durch den Park, und sie rollt durch das Gras,', 'und wir schauen nur auf sie und dann schauen wir uns gegenseitig an und fühlen Dankbarkeit.', 'Wir vergessen alle unsere neuen Mittelschichtfrustrationen und Enttäuschungen, und wir fühlen uns wie Millionäre.']}"
209,346,"{'en': 'And I said, ""It came from your music, man. Because Mr. Ross used to bring in your albums when I was 16 years old in the pottery class,', 'de': 'U'}","{'en': array([""And so he's assembled a group of people."",
       ""And I've fallen in love with him, as I have with Herbie and with his music."",
       'And Quincy said, ""Where did the idea for centers like this come from?""'],
      dtype=object), 'de': ['Und so hat er eine Gruppe von Leuten versammelt.', 'Und ich habe mich in ihn verliebt, wie ich mich in Herbie und seine Musik verliebt habe.', 'Und Quincy sagte: ""Wo kam die Idee für solche Zentren her?""']}"
2394,18,"{'en': ""I don't know about you. But anyway --"", 'de': 'I'}","{'en': array([""LT:  JF: No, it's true."",
       'I exist because I have my women friends. They --',
       ""You're one of them.""], dtype=object), 'de': ['LT: JF: Nein, das ist wahr.', 'Ich existiere, weil ich meine Freundinnen habe.', 'Du bist einer von ihnen.']}"
673,110,"{'en': 'You\'ve misunderstood totally,"" he said.', 'de': 'S'}","{'en': array(['And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""',
       'And the poor man said, ""And you mean God didn\'t answer my pleas?""',
       'And the rabbi said, ""You\'ve misunderstood me.'], dtype=object), 'de': ['Und der reiche Mann – oh, liebe – fiel auf den Kopf. ""Du meinst, Gott wollte mein Brot nicht?""', 'Und der arme Mann sagte: ""Und meinst du, dass Gott meine Bitten nicht beantwortet hat?""', 'Und der Rabbiner sagte: ""Sie haben mich falsch verstanden.']}"
708,135,"{'de': 'War Ihre schlimm?""', 'en': 'Was yours unhappy?""'}","{'en': array([""It wasn't this arm-wrestle, but it was a little surprising for the person involved."",
       ""I interviewed Steve Martin. It wasn't all that long ago."",
       'And we were sitting there, and almost toward the beginning of the interview, I turned to him and I said, ""Steve,"" or ""Mr. Martin, it is said that all comedians have unhappy childhoods.'],
      dtype=object), 'de': ['Es war nicht dieses Arm-Wrestle, aber es war ein wenig überraschend für die betroffene Person.', 'Ich interviewte Steve Martin. Es war nicht allzu lange her.', 'Und wir saßen da, und fast zum Beginn des Interviews drehte ich mich zu ihm und sagte: ""Steve"", oder ""Herr Martin, man sagt, dass alle Komiker unglückliche Kindheit haben.']}"
1478,98,"{'en': ""But you're not looking at the U.S. Constitution."", 'de': 'A'}","{'en': array([""Not based upon the quality of your work, how long you've been there, if you stink, just if you're gay, lesbian, bisexual or transgendered."",
       'All of which flies in the face of the gay agenda, also known as the U.S. Constitution.',
       'Specifically, this little amendment right here: ""No state shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States."" I\'m looking at you, North Carolina.'],
      dtype=object), 'de': ['Nicht basierend auf der Qualität Ihrer Arbeit, wie lange Sie dort gewesen sind, wenn Sie schmücken, nur wenn Sie Homosexuell, Lesben, Bisexuell oder Transgender sind.', 'All das fliesst gegen die homosexuelle Agenda, auch bekannt als die US-Verfassung.', 'Speziell dieser kleine Änderungsantrag hier: ""Kein Staat darf Gesetze erlassen oder durchsetzen, die die Privilegien oder Immunitäten der Bürger der Vereinigten Staaten verringern."" Ich schaue dich an, North Carolina.']}"
987,13,"{'de': 'Ja, gut, Ihr Typen versaut mir mein Leben, weil Trackpads einmal rund waren, von schöner runder Form.', 'en': 'Yeah well, you guys are making my life miserable because track pads used to be round, a nice round shape.'}","{'en': array(['And you know the reason why, of course.',
       'This is because of technology -- yeah.',
       'Any computer designers in the room?'], dtype=object), 'de': ['Und Sie wissen natürlich, warum.', 'Dies ist wegen der Technologie - ja.', 'Gibt es Computer-Designer in diesem Raum?']}"
1821,63,"{'de': 'Sie haben nicht viel in Ihren Taschen. Ist da etwas in der Tasche hier unten?', 'en': ""You don't have a lot in your pockets. Anything down here?""}","{'en': array(['Hi, sir, could you stand up, please? Just right where you are.',
       ""You're married, you follow directions well."",
       'Nice to meet you, sir.'], dtype=object), 'de': ['Hallo, Herr, könntest du bitte aufstehen? Genau da, wo du bist.', 'Sie sind verheiratet, Sie folgen Anweisungen gut.', 'Schön Sie zu treffen, Herr.']}"
1695,173,"{'de': 'Wie machen Sie das?', 'en': 'What is it about you?'}","{'en': array(['CA: How cool is that?  Elon, how have you done this?',
       ""These projects are so -- Paypal, SolarCity, Tesla, SpaceX, they're so spectacularly different, they're such ambitious projects at scale."",
       'How on Earth has one person been able to innovate in this way?'],
      dtype=object), 'de': ['CA: Wie cool ist das? Elon, wie hast du das gemacht?', 'Diese Projekte sind so - Paypal, SolarCity, Tesla, SpaceX, sie sind so spektakulär verschieden, sie sind so ehrgeizige Projekte auf Skala.', 'Wie ist es überhaupt möglich, dass eine Person auf diese Weise innovativ ist?']}"
1706,84,"{'de': 'Und dann fragte ich: ""Wie viele von Ihnen kommen nun später zur Arbeit als sonst?""', 'en': 'And I asked them, I said, ""How many of you now show up to work later than you used to?""'}","{'en': array(['And the week before I showed up, the CEO of this big software company went to that group, 200 engineers, and canceled the project.',
       ""And I stood there in front of 200 of the most depressed people I've ever talked to."",
       'And I described to them some of these Lego experiments, and they said they felt like they had just been through that experiment.'],
      dtype=object), 'de': ['Und die Woche vor meiner Ankunft ging der CEO dieses großen Software-Unternehmens zu dieser Gruppe, 200 Ingenieure, und kündigte das Projekt an.', 'Und ich stand da vor 200 der deprimierendsten Menschen, mit denen ich je gesprochen habe.', 'Und ich beschrieb ihnen einige dieser Lego-Experimente, und sie sagten, dass sie das Gefühl hatten, dass sie gerade durch das Experiment waren.']}"
55,141,"{'en': ""[If you were not Abu Azzam's daughter ...]"", 'de': '['}","{'en': array(['[Woman: There is no Paradise! It only exists in your head!]',
       '[Man: God forbid!]', '[May God forgive you.]'], dtype=object), 'de': ['[Frau: Es gibt kein Paradies! Es existiert nur in deinem Kopf!]', '[Mann: Gott verbietet!]', 'Gott möge dir verzeihen.']}"
924,17,"{'de': 'Amerikaner haben es gerne auf ihre Art, um den Burger-King-Slogan zu zitieren: ""have it your way"". Denn, wie Starbucks sagt: ""happiness is in your choices.""', 'en': 'The American way, to quote Burger King, is to ""have it your way,"" because, as Starbucks says, ""happiness is in your choices.""'}","{'en': array(['My failure to procure myself a cup of sweet, green tea was not due to a simple misunderstanding.',
       'This was due to a fundamental difference in our ideas about choice.',
       'From my American perspective, when a paying customer makes a reasonable request based on her preferences, she has every right to have that request met.'],
      dtype=object), 'de': ['Mein Versäumnis, mir eine Tasse süßen grünen Tee zu besorgen, war nicht auf ein einfaches Missverständnis zurückzuführen.', 'Dies war auf Grund eines grundlegenden Unterschieds in unseren Vorstellungen über die Wahl zurückzuführen.', 'Aus meiner amerikanischen Perspektive, wenn ein zahlender Kunde eine angemessene Anfrage basierend auf ihren Vorlieben macht, hat sie jedes Recht, dass diese Anfrage erfüllt wird.']}"
413,219,"{'de': '""Sicher. Wir machen euch eine ganze Menge.""', 'en': ""Sure. We'll make you a big batch.""}","{'en': array([""They said they were going to beat us up if we didn't make some gunpowder for them."",
       'We said, well, what are you going to do with it?',
       ""They said, we're going to melt it down and make rocket fuel.""],
      dtype=object), 'de': ['Sie sagten, sie würden uns schlagen, wenn wir ihnen kein Pfefferpulver machen würden.', 'Wir haben uns gefragt, was soll man damit machen?', 'Sie sagten, wir werden es schmelzen und Raketenbrennstoff machen.']}"
1391,54,"{'de': 'Wir würden es schätzen, wenn Sie nicht Verletzlichkeit oder Scham erwähnten.""', 'en': 'We\'d appreciate it if you wouldn\'t mention vulnerability or shame.""'}","{'en': array([""One of the weird things that's happened is, after the TED explosion, I got a lot of offers to speak all over the country -- everyone from schools and parent meetings to Fortune 500 companies."",
       'And so many of the calls went like this, ""Dr. Brown, we loved your TED talk.',
       ""We'd like you to come in and speak.""], dtype=object), 'de': ['Eine der seltsamen Dinge, die geschehen sind, ist, dass ich nach der TED-Explosion viele Angebote erhielt, um im ganzen Land zu sprechen - von Schulen und Elterntreffen bis zu Fortune 500-Unternehmen.', 'Und so viele der Anrufe gingen so: ""Dr. Brown, wir haben Ihren TED-Vortrag geliebt.', 'Wir möchten, dass Sie kommen und sprechen.']}"
1190,183,"{'de': 'Und das Ergebnis ist, dass Sie Recht haben und ich Unrecht.', 'en': ""And it turns out that you're right and I'm wrong.""}","{'en': array(['And after the trial had been running for a little while, he gathered together all his colleagues around his table, and he said, ""Well, gentlemen, we have some preliminary results.',
       ""They're not statistically significant."", 'But we have something.'],
      dtype=object), 'de': ['Und nachdem die Studie für eine Weile gelaufen war, versammelte er alle seine Kollegen um seinen Tisch, und er sagte: ""Nun, Herren, wir haben einige vorläufige Ergebnisse.', 'Sie sind nicht statistisch signifikant.', 'Aber wir haben etwas.']}"
2027,173,"{'en': 'because if we take a look at the first letters of your combinations, we get ""C-H-A-O-S"" for chaos and ""O-R-D-E-R"" for order.', 'de': 'd'}","{'en': array([""there's one more thing,"",
       ""there's one final piece of the puzzle."",
       'Gwen, I am so grateful for your choices'], dtype=object), 'de': ['Es gibt noch eine Sache,', 'da ist ein letztes Stück des Puzzles.', 'Gwen, ich bin so dankbar für Ihre Entscheidungen']}"
1042,202,"{'en': 'We just need you to be authentic and real and say ... ""We\'re sorry. We\'ll fix it."" But there\'s another way, and I\'ll leave you with this.', 'de': 'W'}","{'en': array(['We do that in our personal lives.',
       ""We do that corporate -- whether it's a bailout, an oil spill ... a recall. We pretend like what we're doing doesn't have a huge impact on other people."",
       'I would say to companies, this is not our first rodeo, people.'],
      dtype=object), 'de': ['Wir tun das in unserem persönlichen Leben.', 'Wir machen das Unternehmen - ob es eine Rettungsaktion ist, ein Ölverschmutz... ein Rückruf. Wir fingen an, dass das, was wir tun, keinen großen Einfluss auf andere Menschen hat.', 'Ich würde den Unternehmen sagen, das ist nicht unser erstes Rodeo, Leute.']}"
673,107,"{'en': 'And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""', 'de': 'U'}","{'en': array(['The rabbi came in and saw what was going on.',
       'And he called the two of them to his office.',
       'And he said, you know, ""This is what\'s happening.""'],
      dtype=object), 'de': ['Der Rabbiner kam hinein und sah, was geschah.', 'Und er rief die beiden zu seinem Büro.', 'Und er sagte: ""Das ist, was passiert.""']}"
