doc_id,seg_id,translation,context
55,141,"{'en': ""[If you were not Abu Azzam's daughter ...]""}","{'en': array(['[Woman: There is no Paradise! It only exists in your head!]',
       '[Man: God forbid!]', '[May God forgive you.]'], dtype=object), 'nl': array(['Vrouw: Er is geen Paradijs! Het bestaat alleen in je hoofd!',
       'Man: Alsjeblieft zeg!', 'Moge God je vergeven.'], dtype=object)}"
103,49,"{'en': 'And I said, ""Well, how do you hear it?""'}","{'en': array(['And so on. There is a little bit of a difference there that is worth just --  -- thinking about. And I remember when I was 12 years old, and I started playing tympani and percussion, and my teacher said, ""Well, how are we going to do this? You know, music is about listening.""',
       'And I said, ""Yes, I agree with that. So what\'s the problem?""',
       'And he said, ""Well, how are you going to hear this? How are you going to hear that?""'],
      dtype=object), 'nl': array(['en zo verder. Er zit een klein verschil op, dat de moeite is --  -- om over na te denken Ik herinner mij dat ik op mijn twaalfde op pauken en percussie begon te spelen. Mijn leraar zei: ""Wel, hoe gaan we dat doen? Muziek gaat om luisteren.""',
       '""Ja, akkoord. En wat is het probleem?""',
       'Hij zei: ""Hoe ga je dit horen? Hoe ga je dat horen?""'],
      dtype=object)}"
209,346,"{'en': 'And I said, ""It came from your music, man. Because Mr. Ross used to bring in your albums when I was 16 years old in the pottery class,'}","{'en': array([""And so he's assembled a group of people."",
       ""And I've fallen in love with him, as I have with Herbie and with his music."",
       'And Quincy said, ""Where did the idea for centers like this come from?""'],
      dtype=object), 'nl': array(['Hij verzamelde een groep mensen.',
       'Ik ben helemaal weg van hem, net als van Herbie en zijn muziek.',
       'Quincy zei: ""Waar kwam de idee voor centra als dit vandaan?""'],
      dtype=object)}"
413,236,"{'en': ""Sure. We'll make you a big batch.""}","{'en': array([""They said they were going to beat us up if we didn't make some gunpowder for them."",
       'We said, well, what are you going to do with it?',
       ""They said, we're going to melt it down and make rocket fuel.""],
      dtype=object), 'nl': array(['Ze gingen ons een pak rammel geven als we niet wat buskruit voor hen zouden maken.',
       'Wij vroegen wat ze ermee wilden doen.',
       'Zij zeiden: ""We gaan het smelten om er raketbrandstof van te maken.""'],
      dtype=object)}"
673,110,"{'en': 'You\'ve misunderstood totally,"" he said.'}","{'en': array(['And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""',
       'And the poor man said, ""And you mean God didn\'t answer my pleas?""',
       'And the rabbi said, ""You\'ve misunderstood me.'], dtype=object), 'nl': array(['En de rijke man -- oh, lieve hemel -- teneergeslagen: ""U bedoelt dat God mijn broden niet wilde hebben?""',
       'En de arme man zei: ""En u bedoelt dat God mijn gebeden niet verhoorde?""',
       'En de rabbijn zei: ""Jullie hebben me verkeerd begrepen.""'],
      dtype=object)}"
673,107,"{'en': 'And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""'}","{'en': array(['The rabbi came in and saw what was going on.',
       'And he called the two of them to his office.',
       'And he said, you know, ""This is what\'s happening.""'],
      dtype=object), 'nl': array(['De rabbijn zag wat er aan de hand was.',
       'En hij riep de beide mannen in zijn kantoor.',
       'En hij zei: ""Weten jullie, dit is er aan de hand.""'], dtype=object)}"
708,134,"{'en': 'Was yours unhappy?""'}","{'en': array([""It wasn't this arm-wrestle, but it was a little surprising for the person involved."",
       ""I interviewed Steve Martin. It wasn't all that long ago."",
       'And we were sitting there, and almost toward the beginning of the interview, I turned to him and I said, ""Steve,"" or ""Mr. Martin, it is said that all comedians have unhappy childhoods.'],
      dtype=object), 'nl': array(['Het was geen armpje drukken, maar het was best verrassend voor de betreffende persoon.',
       'Ik interviewde Steve Martin. Dat was niet zo heel lang geleden.',
       'En we zaten daar, en bijna aan het begin van het interview, draaide ik me naar hem toe en zei: ""Steve,"" of ""Meneer Martin, er wordt gezegd dat alle komieken een ongelukkige jeugd hebben.'],
      dtype=object)}"
924,19,"{'en': 'The American way, to quote Burger King, is to ""have it your way,"" because, as Starbucks says, ""happiness is in your choices.""'}","{'en': array(['My failure to procure myself a cup of sweet, green tea was not due to a simple misunderstanding.',
       'This was due to a fundamental difference in our ideas about choice.',
       'From my American perspective, when a paying customer makes a reasonable request based on her preferences, she has every right to have that request met.'],
      dtype=object), 'nl': array(['Dat ik had gefaald om mezelf aan een kop zoete groene thee te helpen, was niet zomaar een misverstand.',
       'Het was te wijten aan een fundamenteel verschil in onze ideeën over keuze.',
       'Vanuit mijn Amerikaanse perspectief heeft een betalende klant die een redelijk verzoek doet, op basis van haar voorkeuren, het recht om te krijgen wat ze vraagt.'],
      dtype=object)}"
987,14,"{'en': 'Yeah well, you guys are making my life miserable because track pads used to be round, a nice round shape.'}","{'en': array(['And you know the reason why, of course.',
       'This is because of technology -- yeah.',
       'Any computer designers in the room?'], dtype=object), 'nl': array(['En jullie willen weten waarom, natuurlijk.',
       'Vanwege de technologie.',
       'Zijn er computerontwerpers aanwezig in de zaal?'], dtype=object)}"
1042,202,"{'en': 'We just need you to be authentic and real and say ... ""We\'re sorry. We\'ll fix it."" But there\'s another way, and I\'ll leave you with this.'}","{'en': array(['We do that in our personal lives.',
       ""We do that corporate -- whether it's a bailout, an oil spill ... a recall. We pretend like what we're doing doesn't have a huge impact on other people."",
       'I would say to companies, this is not our first rodeo, people.'],
      dtype=object), 'nl': array(['Dat doen we in ons persoonlijke leven.',
       'We doen dat in het bedrijfsleven -- of het nu gaat om steun aan banken of een olieramp een terugroepactie -- we doen net alsof wat we doen geen enorme impact heeft op andere mensen.',
       'Ik wil tegen bedrijven zeggen: ""We zijn niet van gisteren, mensen.'],
      dtype=object)}"
1190,182,"{'en': ""And it turns out that you're right and I'm wrong.""}","{'en': array(['And after the trial had been running for a little while, he gathered together all his colleagues around his table, and he said, ""Well, gentlemen, we have some preliminary results.',
       ""They're not statistically significant."", 'But we have something.'],
      dtype=object), 'nl': array([""Nadat de studie een tijdje bezig was, verzamelde hij al zijn collega's rond zijn tafel, en hij zei: “Nou, heren, we hebben een aantal voorlopige resultaten."",
       'Ze zijn niet statistisch significant.', 'Maar we hebben iets.'],
      dtype=object)}"
1391,56,"{'en': 'We\'d appreciate it if you wouldn\'t mention vulnerability or shame.""'}","{'en': array([""One of the weird things that's happened is, after the TED explosion, I got a lot of offers to speak all over the country -- everyone from schools and parent meetings to Fortune 500 companies."",
       'And so many of the calls went like this, ""Dr. Brown, we loved your TED talk.',
       ""We'd like you to come in and speak.""], dtype=object), 'nl': array(['Eén van de rare dingen die gebeurden na de TED-explosie, is dat ik overal gevraagd werd om te spreken -- van scholen en ouderavonden tot Fortune 500-bedrijven.',
       'Vele gesprekken verliepen als volgt: ""Hallo, Dr. Brown. We zijn dol op uw TEDTalk.',
       'We willen u graag als spreker.'], dtype=object)}"
1478,98,"{'en': ""But you're not looking at the U.S. Constitution.""}","{'en': array([""Not based upon the quality of your work, how long you've been there, if you stink, just if you're gay, lesbian, bisexual or transgendered."",
       'All of which flies in the face of the gay agenda, also known as the U.S. Constitution.',
       'Specifically, this little amendment right here: ""No state shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States."" I\'m looking at you, North Carolina.'],
      dtype=object), 'nl': array(['Niet omwille van de kwaliteit van je werk, of hoe lang je daar al werkt, of je stinkt, alleen maar omdat je homo, lesbisch, biseksueel of transseksueel bent.',
       'Allemaal in tegenspraak met de homoseksuele agenda, ook bekend als de Amerikaanse grondwet.',
       'Specifiek, dit kleine amendement hier: ‘Geen enkele staat mag enige wet maken of opleggen die de voorrechten of immuniteiten van de burgers van de Verenigde Staten zal inperken.’ Ik kijk naar je, North Carolina.'],
      dtype=object)}"
