doc_id,seg_id,translation,context
55,141,"{'en': ""[If you were not Abu Azzam's daughter ...]""}","{'en': array(['[Woman: There is no Paradise! It only exists in your head!]',
       '[Man: God forbid!]', '[May God forgive you.]'], dtype=object), 'ru': array(['Женщина: Рая не существует! он существует только в вашей голове!',
       'Мужчина: Бог запрещает!', 'Да простит тебя Бог.'], dtype=object)}"
103,49,"{'en': 'And I said, ""Well, how do you hear it?""'}","{'en': array(['And so on. There is a little bit of a difference there that is worth just --  -- thinking about. And I remember when I was 12 years old, and I started playing tympani and percussion, and my teacher said, ""Well, how are we going to do this? You know, music is about listening.""',
       'And I said, ""Yes, I agree with that. So what\'s the problem?""',
       'And he said, ""Well, how are you going to hear this? How are you going to hear that?""'],
      dtype=object), 'ru': array(['И так далее. Здесь есть небольшая разница, о которой стоит просто подумать. И я помню, когда мне было 12 лет, и я начал играть на барабане и перкуссии, мой учитель спросил: ""Ну и как мы будем это делать?"" Ты же знаешь, музыка - это то, что нужно слушать.""',
       'И я сказал: ""Да, я согласен с этим. Так в чем проблема?""',
       'И он сказал: ""Ну, и как ты собираешься это услышать? Как ты собираешься это услышать?""'],
      dtype=object)}"
209,346,"{'en': 'And I said, ""It came from your music, man. Because Mr. Ross used to bring in your albums when I was 16 years old in the pottery class,'}","{'en': array([""And so he's assembled a group of people."",
       ""And I've fallen in love with him, as I have with Herbie and with his music."",
       'And Quincy said, ""Where did the idea for centers like this come from?""'],
      dtype=object), 'ru': array(['И вот он собрал группу людей.',
       'И я влюбился в него, как и в Херби, и в его музыку.',
       'И Куинси спросил: ""Откуда взялась идея создания подобных центров?""'],
      dtype=object)}"
413,236,"{'en': ""Sure. We'll make you a big batch.""}","{'en': array([""They said they were going to beat us up if we didn't make some gunpowder for them."",
       'We said, well, what are you going to do with it?',
       ""They said, we're going to melt it down and make rocket fuel.""],
      dtype=object), 'ru': array(['Они сказали, что изобьют нас, если мы не сделаем для них немного пороха.',
       'Мы сказали, хорошо, что вы будете делать с этим?',
       'Они сказали, что мы собираемся расплавить его и сделать ракетное топливо.'],
      dtype=object)}"
673,107,"{'en': 'And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""'}","{'en': array(['The rabbi came in and saw what was going on.',
       'And he called the two of them to his office.',
       'And he said, you know, ""This is what\'s happening.""'],
      dtype=object), 'ru': array(['Раввин вошел и увидел, что происходит.',
       'И он позвал их обоих к себе в кабинет.',
       'И он сказал, знаете, ""Вот что происходит"".'], dtype=object)}"
673,110,"{'en': 'You\'ve misunderstood totally,"" he said.'}","{'en': array(['And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""',
       'And the poor man said, ""And you mean God didn\'t answer my pleas?""',
       'And the rabbi said, ""You\'ve misunderstood me.'], dtype=object), 'ru': array(['И богач - о боже! - пал духом. ""Ты хочешь сказать, что Богу не нужен был мой хлеб?""',
       'И бедняк сказал: ""И ты хочешь сказать, что Бог не ответил на мои мольбы?""',
       'И раввин сказал: ""Вы меня неправильно поняли.'], dtype=object)}"
708,134,"{'en': 'Was yours unhappy?""'}","{'en': array([""It wasn't this arm-wrestle, but it was a little surprising for the person involved."",
       ""I interviewed Steve Martin. It wasn't all that long ago."",
       'And we were sitting there, and almost toward the beginning of the interview, I turned to him and I said, ""Steve,"" or ""Mr. Martin, it is said that all comedians have unhappy childhoods.'],
      dtype=object), 'ru': array(['Это был не настоящий армрестлинг, но для человека, участвовавшего в нем, это было немного неожиданно.',
       'Я брал интервью у Стива Мартина. Это было не так давно.',
       'Мы сидели там, и почти в самом начале интервью я повернулся к нему и сказал: ""Стив"", или ""Мистер Мартин, говорят, что у всех комиков несчастливое детство.'],
      dtype=object)}"
924,19,"{'en': 'The American way, to quote Burger King, is to ""have it your way,"" because, as Starbucks says, ""happiness is in your choices.""'}","{'en': array(['My failure to procure myself a cup of sweet, green tea was not due to a simple misunderstanding.',
       'This was due to a fundamental difference in our ideas about choice.',
       'From my American perspective, when a paying customer makes a reasonable request based on her preferences, she has every right to have that request met.'],
      dtype=object), 'ru': array(['Моя неудача приобрести себе чашку сладкого зеленого чая не была причиной простого недоразумения.',
       'Это было связано с фундаментальным различием в наших мыслях о выборе.',
       'С моей американской точки зрения, когда оплачивающий клиент делает разумный запрос на основе своих предпочтений, у него есть все права на удовлетворение этого запроса.'],
      dtype=object)}"
987,14,"{'en': 'Yeah well, you guys are making my life miserable because track pads used to be round, a nice round shape.'}","{'en': array(['And you know the reason why, of course.',
       'This is because of technology -- yeah.',
       'Any computer designers in the room?'], dtype=object), 'ru': array(['И вы, конечно, знаете причину этого.',
       'Это из-за технологий - да.', 'Есть здесь компьютерные дизайнеры?'],
      dtype=object)}"
1042,202,"{'en': 'We just need you to be authentic and real and say ... ""We\'re sorry. We\'ll fix it."" But there\'s another way, and I\'ll leave you with this.'}","{'en': array(['We do that in our personal lives.',
       ""We do that corporate -- whether it's a bailout, an oil spill ... a recall. We pretend like what we're doing doesn't have a huge impact on other people."",
       'I would say to companies, this is not our first rodeo, people.'],
      dtype=object), 'ru': array(['Мы делаем это в нашей личной жизни.',
       'Мы занимаемся корпоративными делами - будь то спасение компании или разлив нефти... напоминаем. Мы притворяемся, что то, что мы делаем, не оказывает огромного влияния на других людей.',
       'Я бы сказал компаниям: это не первое наше родео, ребята.'],
      dtype=object)}"
