doc_id,seg_id,translation,context,concatenated_context
55,141,"{'en': ""If you were not Abu Azzam's daughter ...""}","{'de': array(['Frau: Es gibt kein Paradies! Es existiert nur in deinem Kopf!',
       'Mann: Gott verbietet!', 'Gott möge dir verzeihen.'], dtype=object), 'en': array(['Woman: There is no Paradise! It only exists in your head!',
       'Man: God forbid!', 'May God forgive you.'], dtype=object), 'nl': array(['Vrouw: Er is geen Paradijs! Het bestaat alleen in je hoofd!',
       'Man: Alsjeblieft zeg!', 'Moge God je vergeven.'], dtype=object), 'ru': array(['Женщина: Рая не существует! он существует только в вашей голове!',
       'Мужчина: Бог запрещает!', 'Да простит тебя Бог.'], dtype=object)}","{'de': 'Frau: Es gibt kein Paradies! Es existiert nur in deinem Kopf! Mann: Gott verbietet! Gott möge dir verzeihen.', 'en': 'Woman: There is no Paradise! It only exists in your head! Man: God forbid! May God forgive you.', 'nl': 'Vrouw: Er is geen Paradijs! Het bestaat alleen in je hoofd! Man: Alsjeblieft zeg! Moge God je vergeven.', 'ru': 'Женщина: Рая не существует! он существует только в вашей голове! Мужчина: Бог запрещает! Да простит тебя Бог.'}"
103,49,"{'en': 'And I said, ""Well, how do you hear it?""'}","{'de': array(['Und so weiter. Da gibt es ein wenig Unterschied, den es wert ist - - darüber nachzudenken. Und ich erinnere mich, als ich 12 Jahre alt war, und ich begann Tympani und Percussion zu spielen, und mein Lehrer sagte, ""Nun, wie werden wir das tun? Du weißt, Musik geht darum, zu hören.""',
       'Und ich sagte: ""Ja, ich bin damit einverstanden. Wo liegt das Problem?""',
       'Und er sagte: ""Nun, wie wirst du das hören? Wie wirst du das hören?""'],
      dtype=object), 'en': array(['And so on. There is a little bit of a difference there that is worth just -- -- thinking about. And I remember when I was 12 years old, and I started playing tympani and percussion, and my teacher said, ""Well, how are we going to do this? You know, music is about listening.""',
       'And I said, ""Yes, I agree with that. So what\'s the problem?""',
       'And he said, ""Well, how are you going to hear this? How are you going to hear that?""'],
      dtype=object), 'nl': array(['en zo verder. Er zit een klein verschil op, dat de moeite is -- -- om over na te denken Ik herinner mij dat ik op mijn twaalfde op pauken en percussie begon te spelen. Mijn leraar zei: ""Wel, hoe gaan we dat doen? Muziek gaat om luisteren.""',
       '""Ja, akkoord. En wat is het probleem?""',
       'Hij zei: ""Hoe ga je dit horen? Hoe ga je dat horen?""'],
      dtype=object), 'ru': array(['И так далее. Здесь есть небольшая разница, о которой стоит просто подумать. И я помню, когда мне было 12 лет, и я начал играть на барабане и перкуссии, мой учитель спросил: ""Ну и как мы будем это делать?"" Ты же знаешь, музыка - это то, что нужно слушать.""',
       'И я сказал: ""Да, я согласен с этим. Так в чем проблема?""',
       'И он сказал: ""Ну, и как ты собираешься это услышать? Как ты собираешься это услышать?""'],
      dtype=object)}","{'de': 'Und so weiter. Da gibt es ein wenig Unterschied, den es wert ist - - darüber nachzudenken. Und ich erinnere mich, als ich 12 Jahre alt war, und ich begann Tympani und Percussion zu spielen, und mein Lehrer sagte, ""Nun, wie werden wir das tun? Du weißt, Musik geht darum, zu hören."" Und ich sagte: ""Ja, ich bin damit einverstanden. Wo liegt das Problem?"" Und er sagte: ""Nun, wie wirst du das hören? Wie wirst du das hören?""', 'en': 'And so on. There is a little bit of a difference there that is worth just -- -- thinking about. And I remember when I was 12 years old, and I started playing tympani and percussion, and my teacher said, ""Well, how are we going to do this? You know, music is about listening."" And I said, ""Yes, I agree with that. So what\'s the problem?"" And he said, ""Well, how are you going to hear this? How are you going to hear that?""', 'nl': 'en zo verder. Er zit een klein verschil op, dat de moeite is -- -- om over na te denken Ik herinner mij dat ik op mijn twaalfde op pauken en percussie begon te spelen. Mijn leraar zei: ""Wel, hoe gaan we dat doen? Muziek gaat om luisteren."" ""Ja, akkoord. En wat is het probleem?"" Hij zei: ""Hoe ga je dit horen? Hoe ga je dat horen?""', 'ru': 'И так далее. Здесь есть небольшая разница, о которой стоит просто подумать. И я помню, когда мне было 12 лет, и я начал играть на барабане и перкуссии, мой учитель спросил: ""Ну и как мы будем это делать?"" Ты же знаешь, музыка - это то, что нужно слушать."" И я сказал: ""Да, я согласен с этим. Так в чем проблема?"" И он сказал: ""Ну, и как ты собираешься это услышать? Как ты собираешься это услышать?""'}"
209,346,"{'en': 'And I said, ""It came from your music, man. Because Mr. Ross used to bring in your albums when I was 16 years old in the pottery class,'}","{'de': array(['Und so hat er eine Gruppe von Leuten versammelt.',
       'Und ich habe mich in ihn verliebt, wie ich mich in Herbie und seine Musik verliebt habe.',
       'Und Quincy sagte: ""Wo kam die Idee für solche Zentren her?""'],
      dtype=object), 'en': array([""And so he's assembled a group of people."",
       ""And I've fallen in love with him, as I have with Herbie and with his music."",
       'And Quincy said, ""Where did the idea for centers like this come from?""'],
      dtype=object), 'nl': array(['Hij verzamelde een groep mensen.',
       'Ik ben helemaal weg van hem, net als van Herbie en zijn muziek.',
       'Quincy zei: ""Waar kwam de idee voor centra als dit vandaan?""'],
      dtype=object), 'ru': array(['И вот он собрал группу людей.',
       'И я влюбился в него, как и в Херби, и в его музыку.',
       'И Куинси спросил: ""Откуда взялась идея создания подобных центров?""'],
      dtype=object)}","{'de': 'Und so hat er eine Gruppe von Leuten versammelt. Und ich habe mich in ihn verliebt, wie ich mich in Herbie und seine Musik verliebt habe. Und Quincy sagte: ""Wo kam die Idee für solche Zentren her?""', 'en': 'And so he\'s assembled a group of people. And I\'ve fallen in love with him, as I have with Herbie and with his music. And Quincy said, ""Where did the idea for centers like this come from?""', 'nl': 'Hij verzamelde een groep mensen. Ik ben helemaal weg van hem, net als van Herbie en zijn muziek. Quincy zei: ""Waar kwam de idee voor centra als dit vandaan?""', 'ru': 'И вот он собрал группу людей. И я влюбился в него, как и в Херби, и в его музыку. И Куинси спросил: ""Откуда взялась идея создания подобных центров?""'}"
413,236,"{'en': ""Sure. We'll make you a big batch.""}","{'de': array(['Sie sagten, sie würden uns schlagen, wenn wir ihnen kein Pfefferpulver machen würden.',
       'Wir haben uns gefragt, was soll man damit machen?',
       'Sie sagten, wir werden es schmelzen und Raketenbrennstoff machen.'],
      dtype=object), 'en': array([""They said they were going to beat us up if we didn't make some gunpowder for them."",
       'We said, well, what are you going to do with it?',
       ""They said, we're going to melt it down and make rocket fuel.""],
      dtype=object), 'nl': array(['Ze gingen ons een pak rammel geven als we niet wat buskruit voor hen zouden maken.',
       'Wij vroegen wat ze ermee wilden doen.',
       'Zij zeiden: ""We gaan het smelten om er raketbrandstof van te maken.""'],
      dtype=object), 'ru': array(['Они сказали, что изобьют нас, если мы не сделаем для них немного пороха.',
       'Мы сказали, хорошо, что вы будете делать с этим?',
       'Они сказали, что мы собираемся расплавить его и сделать ракетное топливо.'],
      dtype=object)}","{'de': 'Sie sagten, sie würden uns schlagen, wenn wir ihnen kein Pfefferpulver machen würden. Wir haben uns gefragt, was soll man damit machen? Sie sagten, wir werden es schmelzen und Raketenbrennstoff machen.', 'en': ""They said they were going to beat us up if we didn't make some gunpowder for them. We said, well, what are you going to do with it? They said, we're going to melt it down and make rocket fuel."", 'nl': 'Ze gingen ons een pak rammel geven als we niet wat buskruit voor hen zouden maken. Wij vroegen wat ze ermee wilden doen. Zij zeiden: ""We gaan het smelten om er raketbrandstof van te maken.""', 'ru': 'Они сказали, что изобьют нас, если мы не сделаем для них немного пороха. Мы сказали, хорошо, что вы будете делать с этим? Они сказали, что мы собираемся расплавить его и сделать ракетное топливо.'}"
673,107,"{'en': 'And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""'}","{'de': array(['Der Rabbiner kam hinein und sah, was geschah.',
       'Und er rief die beiden zu seinem Büro.',
       'Und er sagte: ""Das ist, was passiert.""'], dtype=object), 'en': array(['The rabbi came in and saw what was going on.',
       'And he called the two of them to his office.',
       'And he said, you know, ""This is what\'s happening.""'],
      dtype=object), 'nl': array(['De rabbijn zag wat er aan de hand was.',
       'En hij riep de beide mannen in zijn kantoor.',
       'En hij zei: ""Weten jullie, dit is er aan de hand.""'], dtype=object), 'ru': array(['Раввин вошел и увидел, что происходит.',
       'И он позвал их обоих к себе в кабинет.',
       'И он сказал, знаете, ""Вот что происходит"".'], dtype=object)}","{'de': 'Der Rabbiner kam hinein und sah, was geschah. Und er rief die beiden zu seinem Büro. Und er sagte: ""Das ist, was passiert.""', 'en': 'The rabbi came in and saw what was going on. And he called the two of them to his office. And he said, you know, ""This is what\'s happening.""', 'nl': 'De rabbijn zag wat er aan de hand was. En hij riep de beide mannen in zijn kantoor. En hij zei: ""Weten jullie, dit is er aan de hand.""', 'ru': 'Раввин вошел и увидел, что происходит. И он позвал их обоих к себе в кабинет. И он сказал, знаете, ""Вот что происходит"".'}"
673,110,"{'en': 'You\'ve misunderstood totally,"" he said.'}","{'de': array(['Und der reiche Mann – oh, liebe – fiel auf den Kopf. ""Du meinst, Gott wollte mein Brot nicht?""',
       'Und der arme Mann sagte: ""Und meinst du, dass Gott meine Bitten nicht beantwortet hat?""',
       'Und der Rabbiner sagte: ""Sie haben mich falsch verstanden.'],
      dtype=object), 'en': array(['And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?""',
       'And the poor man said, ""And you mean God didn\'t answer my pleas?""',
       'And the rabbi said, ""You\'ve misunderstood me.'], dtype=object), 'nl': array(['En de rijke man -- oh, lieve hemel -- teneergeslagen: ""U bedoelt dat God mijn broden niet wilde hebben?""',
       'En de arme man zei: ""En u bedoelt dat God mijn gebeden niet verhoorde?""',
       'En de rabbijn zei: ""Jullie hebben me verkeerd begrepen.""'],
      dtype=object), 'ru': array(['И богач - о боже! - пал духом. ""Ты хочешь сказать, что Богу не нужен был мой хлеб?""',
       'И бедняк сказал: ""И ты хочешь сказать, что Бог не ответил на мои мольбы?""',
       'И раввин сказал: ""Вы меня неправильно поняли.'], dtype=object)}","{'de': 'Und der reiche Mann – oh, liebe – fiel auf den Kopf. ""Du meinst, Gott wollte mein Brot nicht?"" Und der arme Mann sagte: ""Und meinst du, dass Gott meine Bitten nicht beantwortet hat?"" Und der Rabbiner sagte: ""Sie haben mich falsch verstanden.', 'en': 'And the rich man -- oh, dear -- crestfallen. ""You mean God didn\'t want my bread?"" And the poor man said, ""And you mean God didn\'t answer my pleas?"" And the rabbi said, ""You\'ve misunderstood me.', 'nl': 'En de rijke man -- oh, lieve hemel -- teneergeslagen: ""U bedoelt dat God mijn broden niet wilde hebben?"" En de arme man zei: ""En u bedoelt dat God mijn gebeden niet verhoorde?"" En de rabbijn zei: ""Jullie hebben me verkeerd begrepen.""', 'ru': 'И богач - о боже! - пал духом. ""Ты хочешь сказать, что Богу не нужен был мой хлеб?"" И бедняк сказал: ""И ты хочешь сказать, что Бог не ответил на мои мольбы?"" И раввин сказал: ""Вы меня неправильно поняли.'}"
708,134,"{'en': 'Was yours unhappy?""'}","{'de': array(['Es war nicht dieses Arm-Wrestle, aber es war ein wenig überraschend für die betroffene Person.',
       'Ich interviewte Steve Martin. Es war nicht allzu lange her.',
       'Und wir saßen da, und fast zum Beginn des Interviews drehte ich mich zu ihm und sagte: ""Steve"", oder ""Herr Martin, man sagt, dass alle Komiker unglückliche Kindheit haben.'],
      dtype=object), 'en': array([""It wasn't this arm-wrestle, but it was a little surprising for the person involved."",
       ""I interviewed Steve Martin. It wasn't all that long ago."",
       'And we were sitting there, and almost toward the beginning of the interview, I turned to him and I said, ""Steve,"" or ""Mr. Martin, it is said that all comedians have unhappy childhoods.'],
      dtype=object), 'nl': array(['Het was geen armpje drukken, maar het was best verrassend voor de betreffende persoon.',
       'Ik interviewde Steve Martin. Dat was niet zo heel lang geleden.',
       'En we zaten daar, en bijna aan het begin van het interview, draaide ik me naar hem toe en zei: ""Steve,"" of ""Meneer Martin, er wordt gezegd dat alle komieken een ongelukkige jeugd hebben.'],
      dtype=object), 'ru': array(['Это был не настоящий армрестлинг, но для человека, участвовавшего в нем, это было немного неожиданно.',
       'Я брал интервью у Стива Мартина. Это было не так давно.',
       'Мы сидели там, и почти в самом начале интервью я повернулся к нему и сказал: ""Стив"", или ""Мистер Мартин, говорят, что у всех комиков несчастливое детство.'],
      dtype=object)}","{'de': 'Es war nicht dieses Arm-Wrestle, aber es war ein wenig überraschend für die betroffene Person. Ich interviewte Steve Martin. Es war nicht allzu lange her. Und wir saßen da, und fast zum Beginn des Interviews drehte ich mich zu ihm und sagte: ""Steve"", oder ""Herr Martin, man sagt, dass alle Komiker unglückliche Kindheit haben.', 'en': 'It wasn\'t this arm-wrestle, but it was a little surprising for the person involved. I interviewed Steve Martin. It wasn\'t all that long ago. And we were sitting there, and almost toward the beginning of the interview, I turned to him and I said, ""Steve,"" or ""Mr. Martin, it is said that all comedians have unhappy childhoods.', 'nl': 'Het was geen armpje drukken, maar het was best verrassend voor de betreffende persoon. Ik interviewde Steve Martin. Dat was niet zo heel lang geleden. En we zaten daar, en bijna aan het begin van het interview, draaide ik me naar hem toe en zei: ""Steve,"" of ""Meneer Martin, er wordt gezegd dat alle komieken een ongelukkige jeugd hebben.', 'ru': 'Это был не настоящий армрестлинг, но для человека, участвовавшего в нем, это было немного неожиданно. Я брал интервью у Стива Мартина. Это было не так давно. Мы сидели там, и почти в самом начале интервью я повернулся к нему и сказал: ""Стив"", или ""Мистер Мартин, говорят, что у всех комиков несчастливое детство.'}"
924,19,"{'en': 'The American way, to quote Burger King, is to ""have it your way,"" because, as Starbucks says, ""happiness is in your choices.""'}","{'de': array(['Mein Versäumnis, mir eine Tasse süßen grünen Tee zu besorgen, war nicht auf ein einfaches Missverständnis zurückzuführen.',
       'Dies war auf Grund eines grundlegenden Unterschieds in unseren Vorstellungen über die Wahl zurückzuführen.',
       'Aus meiner amerikanischen Perspektive, wenn ein zahlender Kunde eine angemessene Anfrage basierend auf ihren Vorlieben macht, hat sie jedes Recht, dass diese Anfrage erfüllt wird.'],
      dtype=object), 'en': array(['My failure to procure myself a cup of sweet, green tea was not due to a simple misunderstanding.',
       'This was due to a fundamental difference in our ideas about choice.',
       'From my American perspective, when a paying customer makes a reasonable request based on her preferences, she has every right to have that request met.'],
      dtype=object), 'nl': array(['Dat ik had gefaald om mezelf aan een kop zoete groene thee te helpen, was niet zomaar een misverstand.',
       'Het was te wijten aan een fundamenteel verschil in onze ideeën over keuze.',
       'Vanuit mijn Amerikaanse perspectief heeft een betalende klant die een redelijk verzoek doet, op basis van haar voorkeuren, het recht om te krijgen wat ze vraagt.'],
      dtype=object), 'ru': array(['Моя неудача приобрести себе чашку сладкого зеленого чая не была причиной простого недоразумения.',
       'Это было связано с фундаментальным различием в наших мыслях о выборе.',
       'С моей американской точки зрения, когда оплачивающий клиент делает разумный запрос на основе своих предпочтений, у него есть все права на удовлетворение этого запроса.'],
      dtype=object)}","{'de': 'Mein Versäumnis, mir eine Tasse süßen grünen Tee zu besorgen, war nicht auf ein einfaches Missverständnis zurückzuführen. Dies war auf Grund eines grundlegenden Unterschieds in unseren Vorstellungen über die Wahl zurückzuführen. Aus meiner amerikanischen Perspektive, wenn ein zahlender Kunde eine angemessene Anfrage basierend auf ihren Vorlieben macht, hat sie jedes Recht, dass diese Anfrage erfüllt wird.', 'en': 'My failure to procure myself a cup of sweet, green tea was not due to a simple misunderstanding. This was due to a fundamental difference in our ideas about choice. From my American perspective, when a paying customer makes a reasonable request based on her preferences, she has every right to have that request met.', 'nl': 'Dat ik had gefaald om mezelf aan een kop zoete groene thee te helpen, was niet zomaar een misverstand. Het was te wijten aan een fundamenteel verschil in onze ideeën over keuze. Vanuit mijn Amerikaanse perspectief heeft een betalende klant die een redelijk verzoek doet, op basis van haar voorkeuren, het recht om te krijgen wat ze vraagt.', 'ru': 'Моя неудача приобрести себе чашку сладкого зеленого чая не была причиной простого недоразумения. Это было связано с фундаментальным различием в наших мыслях о выборе. С моей американской точки зрения, когда оплачивающий клиент делает разумный запрос на основе своих предпочтений, у него есть все права на удовлетворение этого запроса.'}"
987,14,"{'en': 'Yeah well, you guys are making my life miserable because track pads used to be round, a nice round shape.'}","{'de': array(['Und Sie wissen natürlich, warum.',
       'Dies ist wegen der Technologie - ja.',
       'Gibt es Computer-Designer in diesem Raum?'], dtype=object), 'en': array(['And you know the reason why, of course.',
       'This is because of technology -- yeah.',
       'Any computer designers in the room?'], dtype=object), 'nl': array(['En jullie willen weten waarom, natuurlijk.',
       'Vanwege de technologie.',
       'Zijn er computerontwerpers aanwezig in de zaal?'], dtype=object), 'ru': array(['И вы, конечно, знаете причину этого.',
       'Это из-за технологий - да.', 'Есть здесь компьютерные дизайнеры?'],
      dtype=object)}","{'de': 'Und Sie wissen natürlich, warum. Dies ist wegen der Technologie - ja. Gibt es Computer-Designer in diesem Raum?', 'en': 'And you know the reason why, of course. This is because of technology -- yeah. Any computer designers in the room?', 'nl': 'En jullie willen weten waarom, natuurlijk. Vanwege de technologie. Zijn er computerontwerpers aanwezig in de zaal?', 'ru': 'И вы, конечно, знаете причину этого. Это из-за технологий - да. Есть здесь компьютерные дизайнеры?'}"
1042,202,"{'en': 'We just need you to be authentic and real and say ... ""We\'re sorry. We\'ll fix it."" But there\'s another way, and I\'ll leave you with this.'}","{'de': array(['Wir tun das in unserem persönlichen Leben.',
       'Wir machen das Unternehmen - ob es eine Rettungsaktion ist, ein Ölverschmutz... ein Rückruf. Wir fingen an, dass das, was wir tun, keinen großen Einfluss auf andere Menschen hat.',
       'Ich würde den Unternehmen sagen, das ist nicht unser erstes Rodeo, Leute.'],
      dtype=object), 'en': array(['We do that in our personal lives.',
       ""We do that corporate -- whether it's a bailout, an oil spill ... a recall. We pretend like what we're doing doesn't have a huge impact on other people."",
       'I would say to companies, this is not our first rodeo, people.'],
      dtype=object), 'nl': array(['Dat doen we in ons persoonlijke leven.',
       'We doen dat in het bedrijfsleven -- of het nu gaat om steun aan banken of een olieramp een terugroepactie -- we doen net alsof wat we doen geen enorme impact heeft op andere mensen.',
       'Ik wil tegen bedrijven zeggen: ""We zijn niet van gisteren, mensen.'],
      dtype=object), 'ru': array(['Мы делаем это в нашей личной жизни.',
       'Мы занимаемся корпоративными делами - будь то спасение компании или разлив нефти... напоминаем. Мы притворяемся, что то, что мы делаем, не оказывает огромного влияния на других людей.',
       'Я бы сказал компаниям: это не первое наше родео, ребята.'],
      dtype=object)}","{'de': 'Wir tun das in unserem persönlichen Leben. Wir machen das Unternehmen - ob es eine Rettungsaktion ist, ein Ölverschmutz... ein Rückruf. Wir fingen an, dass das, was wir tun, keinen großen Einfluss auf andere Menschen hat. Ich würde den Unternehmen sagen, das ist nicht unser erstes Rodeo, Leute.', 'en': ""We do that in our personal lives. We do that corporate -- whether it's a bailout, an oil spill ... a recall. We pretend like what we're doing doesn't have a huge impact on other people. I would say to companies, this is not our first rodeo, people."", 'nl': 'Dat doen we in ons persoonlijke leven. We doen dat in het bedrijfsleven -- of het nu gaat om steun aan banken of een olieramp een terugroepactie -- we doen net alsof wat we doen geen enorme impact heeft op andere mensen. Ik wil tegen bedrijven zeggen: ""We zijn niet van gisteren, mensen.', 'ru': 'Мы делаем это в нашей личной жизни. Мы занимаемся корпоративными делами - будь то спасение компании или разлив нефти... напоминаем. Мы притворяемся, что то, что мы делаем, не оказывает огромного влияния на других людей. Я бы сказал компаниям: это не первое наше родео, ребята.'}"
